downstream_data,remote_ip,protocol,tx_bytes,event_timestamp,subscriber_id,bytes_sent,destination_domain,destination_ip,vpn_usage,conn_protocol,service_protocol,server_ip,vpn_detected,time_spent,is_vpn,transport_protocol,session_duration,user_id,timestamp,customer_id,dest_port,access_time,encrypted_tunnel,ip_dst,download_bytes,upstream_data,bytes_received,port,duration,upload_bytes,server_port,remote_port,url,msisdn,is_fraud,rx_bytes,connection_time,host,domain
,,,,16/09/2023 23:31:29,,,,,,HTTP,,113.224.81.186,,215,,,,,,,18540,,False,,,,12397,,,5492,,,,2484831679063,False,,,,fileshare.cc
69023,244.109.174.248,,,,,8853,instagram.com,,,,,,,,,TCP,3229,,2023-09-18 13:10:25,8450352878027,,,False,,,,,,,,65535,,,,False,,,,
,,HTTPS,,,6014849321798,,zoom.us,208.240.99.188,,,,,,3188,,,,,,,,2023-08-18T08:31:11.000Z,True,,21251,8651,,,,,,37384,,,False,,,,
,129.191.120.197,,5503,,,,,,,,HTTP,,,,,,,,2023-08-19 12:43:40,4908035861079,,,False,,18045,,,24571,,,,,,,False,,3438,,amazon.in
,,,2362,,,,,,,,TCP,,,,True,,2356,,04/03/2023 01:44:18,,,,,160.234.32.56,,,215,,,,32757,,,6296715332991,False,,,,amazon.in
59998,,HTTPS,,,,,,,True,,,86.68.22.180,,1961,,,,,2023-05-04 23:55:27,7064783988039,,,,,,2219,,,,,,53315,,,False,,,,snapchat.com
23662,,DNS,,,,,,,False,,,230.197.173.95,,,,,339,,,5807494009897,,,,,,1303,,,,,32606,,amazon.in,,False,,1678002837,,
74359,,,,1675878160,,6011,,192.81.15.73,,TCP,,,,967,,,,,,2009093565578,,,True,,,,,,,,,44440,instagram.com,,False,,,,
,199.133.228.109,,,,,,twitter.com,,True,HTTPS,,,,,,,,,1694611261,,,,,,,,93512,,,7416,,18716,,4275924779019,False,,556,,
,95.239.66.44,,,,,,,,,,HTTPS,,False,,,,,,2023-05-02 17:59:12,3442943320299,26094,,,,,,41563,,,9429,,,,,False,,3151,instagram.com,
,,,,,7086937045938,,,,,,UDP,,,,True,,,,,,,2023-09-23 10:20:30,,245.140.64.155,73884,,,6123,,9924,,,facebook.com,,False,,2379,,
,,,,19/12/2023 02:10:52,2281848211445,,,,,HTTP,,119.104.174.73,,536,True,,,,,,,,,,,,,,,8447,47079,,,,False,41837,,,flipkart.com
,,,,,,,,,,,HTTPS,101.234.123.110,False,,,,,9214188196299,,,3189,,,,1081,7720,,,,,,,fileshare.cc,,False,,3453,,
,,,,,,,,,,,HTTP,250.49.201.191,,,,,,,,,,,False,,,6586,5948,22223,,,,,,8922085454844,False,,816,,snapchat.com
82457,,,7881,,1295561390695,,,204.13.242.135,,DNS,,,,,,,,,,,,,False,,,,,,,,,51309,,,False,,2955,amazon.in,
,,,4341,,,,,,,,,170.244.192.160,,,,HTTP,2769,2098340828707,,,,2023-12-28T05:01:38.000Z,False,,25210,,,,,,30125,,,,False,,,,zoom.us
,168.131.245.109,,,,,,,,,DNS,,,,,,,,,,6107345225109,,2023-01-22 10:28:20,True,,,9624,6663,,,,,35297,instagram.com,,False,,563,,
,,,3062,2023-05-27 23:30:59,,,,60.19.89.213,,,TCP,,True,1627,,,,,,6649115702296,,,,,,,,11521,,,,,,,False,37951,,,youtube.com
18440,,,,28/11/2023 09:22:00,,1572,,203.151.98.89,,HTTPS,,,3,,,,356,,,9073383682374,,,,,,,,,,,,41860,fileshare.cc,,False,,,,
,241.151.188.113,,,,,9008,,,,,HTTPS,,,,True,,,,,8130331689910,,,,,,,,,2482,,8754,,,,False,99277,12/18/2023 18:17:46,,youtube.com
55544,,,,,,,,,,,TCP,,,,,,3341,,,,,,True,132.212.233.29,,,,44091,,9485,,,,9601029126786,False,,1676552695,,fileshare.cc
,,,,,,,,,,,TCP,90.60.91.201,,1223,,,,,2023-07-12T02:55:18.000Z,,47701,,True,,,8930,,,,,,,,7643913975574,False,49722,,netflix.com,
,,,,,,5263,,,,,HTTP,,,,,,,5303766293800,1674464925,,60057,,True,194.28.71.148,,,18787,,3165,,,,zoom.us,,False,,,,
,182.73.237.29,,5421,03/10/2023 17:14:25,,,,,,DNS,,,,995,True,,,,,,,,,,58964,,,,,,,63425,,4235727258091,False,,,,zoom.us
65189,,,,1680907576,,,,,,,HTTPS,,,1472,False,,,,,4723802503423,50825,,,181.104.203.122,,,,,,5902,,,,,False,,,,zoom.us
,,,,,,,,,,,HTTPS,,,,True,,,,,4449513340709,42055,,,128.172.131.250,,2303,,,3257,,,,snapchat.com,,False,64014,1687056749,,
,,,,,,7064,,,,,,,,,,,3331,2062459806909,2023-11-13T23:13:08.000Z,,47330,,True,,23506,,,,,,,,flipkart.com,,False,,,,
,,,,,,,,,,,,,,1357,False,HTTPS,,,,2420980769179,,,,97.243.28.4,5587,,,,,1572,5419,,youtube.com,,False,,2023-12-01 23:39:42,,
42788,,,,,,9768,,,,,TCP,,False,3150,,,,5228670001302,,,28646,2023-10-18T14:10:07.000Z,,190.71.40.177,,,,,,,,,,,False,,,instagram.com,
,,UDP,,14/07/2023 23:04:46,,,,28.46.2.157,False,,,,,,,,,,,3711275294886,,,,,,,13548,,,9098,,49896,amazon.in,,False,,1766,,
,,UDP,,,,,,,,,,112.141.215.153,False,,,,2031,,1685852180,,,,,,,,,,,3213,,5042,,5729355306423,False,17768,,netflix.com,
95327,,,9022,,,,,84.192.143.201,,DNS,,,True,,,,737,,,,,,,,,,,,,,61084,,snapchat.com,8009234476251,False,,1686632800,,
,223.214.18.184,,5826,2023-10-26T14:35:34.000Z,,,twitter.com,,False,TCP,,,,,,,1017,,,,53235,,,,,,,,,,,,,9429293941098,False,80314,,,
,236.43.59.72,,,,,,,,,,UDP,,,1427,,,,3652144305808,1687721019,,22484,,False,,,7188,,,,,,,,,False,59313,,,youtube.com
,,,9469,,,,amazon.in,189.101.230.219,,,HTTP,,False,,,,,,19/11/2023 06:42:56,8128777079077,46186,,,,,,,,,,,,,,False,70381,3313,,
64188,,,,10/06/2023 04:17:28,,,,,True,UDP,,,,2202,,,,,,3356528769025,,,,96.72.198.214,,,,,,2848,37671,,facebook.com,,False,,,,
,,,9016,,,,,57.149.16.140,,,,,,3165,,HTTPS,,,2023-03-27T03:00:35.000Z,9596135888029,18919,,False,,,,,,,,,,fileshare.cc,,False,75076,,,
92291,,TCP,,2023-05-02T07:38:29.000Z,3065853317837,,,157.219.84.71,False,,,,,2181,,,,,,,,,,,,8837,,,,,53316,,,,False,,,,instagram.com
96049,97.231.38.47,,,2023-09-08T05:10:34.000Z,7909211817271,,,,,,HTTP,,False,,,,2000,,,,49140,,,,,,,,,50,,,,,False,,,,facebook.com
47252,,,,,,,,,,UDP,,,False,,,,,,,,,1676913474,,,,4499,,,,,,62786,fileshare.cc,1807661767842,False,,1237,,
,,TCP,,,,,youtube.com,,True,,,109.67.244.36,,,,,,,,,,,,,,,,5855,1506,2256,,,,8828350916894,False,98727,01/05/2023 00:17:36,,
,,,,,,4952,amazon.in,36.126.141.43,,,,,False,,,DNS,2829,,,,,,,,,,79561,,,,,39388,,3167895246650,False,,10/29/2023 13:58:55,,
52737,,HTTPS,,1696639645,,,,,,,,,True,,,,,,,,,,,,,6816,,,2575,,,3963,,7427078669935,False,,,,
,,,,,8644718065548,4257,,,False,,,,,,,HTTPS,2143,,,,,,,171.89.61.6,16647,,,,,,,,snapchat.com,,False,,2023-03-01T16:30:24.000Z,,
4645,,TCP,2942,07/08/2023 05:43:38,,,,,False,,,,,1569,,,,,,3935897420555,,,,,,,,,,,,,,,False,,,youtube.com,
,,,,,,3211,,,True,,UDP,,,,,,2424,,05/25/2023 11:18:43,9185679347574,,,,3.188.102.149,,,,19918,,,,,,,False,71648,,youtube.com,
,60.211.190.234,,,,9656162196737,9707,,,,,,,True,,,DNS,,,,,,,,,57024,,,5565,,,,,,,False,,3359,,
,,,,,,,,,True,,TCP,138.183.106.231,,,,,,,,,,,,,42974,,,,2811,9894,17368,,,2856093355116,False,,1679827925,instagram.com,
,,,,,,2120,netflix.com,,False,,,,,,,TCP,2646,,,3135199152670,,,,103.190.43.132,,,,,,,,,,,False,43466,07/01/2023 02:14:43,,
,,,,2023-03-18T01:15:41.000Z,,,,,,,HTTP,166.151.255.210,,,False,,,,,,,,,,71268,,,,,8624,,31394,,8843812248642,False,,1718,,snapchat.com
,26.126.123.136,TCP,,,,,,,,,,,,,False,,,,,9302135410465,51855,,,,,,22778,,,6373,,,zoom.us,,False,,899,,
,,,,,,2330,instagram.com,,True,,,52.66.174.90,,2403,,,,,,1348832128238,,2023-09-27 17:24:10,,,,,68992,,,,55332,,,,False,,,,
41719,177.150.65.90,,540,,,,,,,,DNS,,True,3158,,,,4927132662601,,,62180,,,,,,,,,,,,,,False,,07/12/2023 21:26:34,amazon.in,
62857,,,,,5664383427295,6159,,28.0.24.197,,HTTPS,,,,,,,1552,,,,,,True,,,,,,,,27503,,,,False,,2023-04-18 09:05:07,,instagram.com
,229.247.15.220,HTTPS,,,,,,,,,,,False,,,,,,10/08/2023 03:23:23,2321698811893,,,,,,,,10814,,3122,,,,,False,72638,415,snapchat.com,
,,,6088,19/02/2023 00:56:13,,,,251.41.242.59,,HTTP,,,,,True,,,4511051275585,,,,,,,,,48428,26049,2229,,,,netflix.com,,False,,,,
,,,,,,,amazon.in,,,UDP,,,,3312,,,,,2023-09-01 10:52:51,5148430115185,,,True,183.17.75.61,,,89548,29429,,709,,,,,False,,,,
,145.51.146.176,,4522,2023-10-18T21:24:21.000Z,,,,,,,,,,,,HTTPS,,3607687857565,,,,,False,,,,81044,,1938,,17311,,youtube.com,,False,,,,
49019,191.226.164.137,UDP,,,9649389165293,,,,,,,,,,True,,,,23/12/2023 03:34:33,,,,,,,7947,,,,,39648,,netflix.com,,False,,3375,,
,,UDP,,,7343314642332,5740,instagram.com,130.203.63.15,True,,,,,,,,1944,,12/27/2023 07:14:57,,32034,,,,,,,,,,,,,,False,33913,,,
,,,,,4047912252530,6516,facebook.com,242.156.140.216,,,,,False,,,HTTP,,,,,,04/11/2023 00:18:29,,,,,,,1238,,55810,,,,False,973,,,
44989,,,,,,,,,,HTTPS,,,,,True,,,,2023-09-22 08:44:56,3637918920151,,,,82.71.13.254,,9382,,,,,17002,,snapchat.com,,False,,145,,
9344,,TCP,,,,,instagram.com,224.157.215.169,,,,,True,3549,,,,,,6905148779319,,,,,,,,,,9517,38376,,,,False,,02/12/2023 03:15:04,,
,,,2130,02/11/2023 17:45:08,,,,15.2.231.140,,,UDP,,False,,,,,,,4172759637071,50695,,,,,,,,,,,,,,False,83042,3128,,netflix.com
,17.23.152.148,HTTP,,,3269083158341,,,,,,,,,,True,,,,,,34098,,,,64258,,,,2814,5625,,,,,False,,2023-02-22T13:57:52.000Z,,snapchat.com
82629,,TCP,,,,3376,snapchat.com,170.55.10.24,True,,,,,,,,1944,5499580917036,,,27314,2023-10-01 22:41:15,,,,,,,,,,,,,False,,,,
,128.106.246.169,TCP,,,,,,,,,,,,2741,True,,,,07/03/2023 14:55:07,,,,,,9846,,,836,,1485,,,,4551822503885,False,,,,
62694,,,,,,,,,,,HTTPS,,,,True,,,,,2671240069386,,,,229.224.137.47,,6329,,22461,1870,,,,netflix.com,,False,,24/01/2023 00:21:07,,
,,,,,2986371362143,,,,,,TCP,81.6.114.173,True,2977,,,,,2023-07-30 16:02:41,,,,,,,5674,84080,,,,,45105,youtube.com,,False,,,,
,,,,,,,,,,,TCP,115.45.255.228,False,,,,,,,,,1682889732,,,,8998,79204,,,,64270,,,8092617241786,False,,1689,,flipkart.com
,,,,,,,,96.54.23.84,True,HTTPS,,,,2503,,,,,,4902660302777,,,,,,1988,,,,,,53861,,,False,51507,01/02/2023 12:25:42,,facebook.com
,,,,,,7429,,,,,,169.164.196.214,,,,UDP,,9946092052948,01/04/2023 21:03:52,,60026,,False,,,,,,1405,,,,netflix.com,,False,18121,,,
,,,,,9450615646342,,twitter.com,,,,TCP,,,,False,,3073,,,,,1698333394,,,,4705,19202,,,,9525,,,,False,,,,
,,,2916,,,,snapchat.com,,,UDP,,221.226.115.188,,,,,,,07/01/2023 09:09:03,,35823,,True,,,,,,793,,,,,1947264162231,False,9770,,,
,,,,,,,,78.251.183.37,,UDP,,,True,,,,,,,,20832,,,,,6824,,,3221,,,,,3701705972727,False,52886,2023-06-15 21:43:54,snapchat.com,
,,TCP,8429,,,,youtube.com,,,,,139.144.12.191,True,,,,,,,1704198099742,,,,,12587,,,33341,,,,,,,False,,2669,,
81058,,,106,,,,twitter.com,,True,,,211.116.132.208,,,,,,,01/28/2023 06:28:49,,,,,,,,,41302,2758,,,,,2288866088216,False,,,,
,37.152.191.5,,,,,8980,,,,,,,False,2444,,,,,,4867761793021,,,,,,,,,,,,36378,,,False,39946,2023-03-11T14:14:08.000Z,,facebook.com
,92.65.120.51,HTTP,,,5406925766532,5018,flipkart.com,,False,,,,,,,,1345,,,,4575,2023-02-20T07:11:15.000Z,,,,,,,,,,,,,False,19984,,,
75887,,,,,,,twitter.com,166.41.143.71,,TCP,,,,,,,,8836008266535,,,,,True,,,,,,,521,,12874,,,False,,77,,
,,,,,1186840385746,672,,36.228.81.91,,,UDP,,,1981,False,,,,,,,,,,,,,,,,37082,,netflix.com,,True,63926,2023-12-06T08:41:50.000Z,,
874,,HTTP,,1689185878,,7908,,,,,,230.39.128.192,,,True,,,,,4060465533958,,,,,,,,14608,,,,,instagram.com,,False,,1414,,
78568,,UDP,8474,,9428782327995,,,12.65.82.68,True,,,,,,,,1058,,,,,18/04/2023 21:30:36,,,,,,,,,2569,,,,False,,,,
,,,1587,,,,,,,,DNS,59.193.197.67,True,,,,3386,5653643471956,,,,1679900314,,,80586,,,,,,,13262,snapchat.com,,False,,,,
41415,,,3375,11/05/2023 17:22:19,,,,,True,,DNS,,,2139,,,,,,,,,,,,,,,,,,48736,,3355469541250,False,,,youtube.com,
,219.60.117.228,,9030,06/07/2023 21:01:53,,,,,,,UDP,,,3220,True,,,,,5464548754623,,,,,89737,,,,,,,62210,,,False,,,amazon.in,
,,,,2023-07-25T22:21:13.000Z,7763390205003,,,,True,DNS,,,,,,,138,,,,,,,153.29.89.253,,8374,30375,13220,,,,,facebook.com,,False,,,,
,71.115.99.232,,,,,8253,,,False,,,,,,,UDP,437,6005997382306,,,,,,,,,15346,,,,,,instagram.com,,False,,10/14/2023 21:13:26,,
,,,,15/07/2023 23:04:15,,5802,,106.180.4.134,True,,,,,732,,HTTP,,,,,,,,,,,,,,,6096,,zoom.us,2186518301173,False,75207,,,
,,,,,,2111,fileshare.cc,96.161.252.140,True,DNS,,,,,,,910,,,9665798420749,64514,2023-11-11T00:14:28.000Z,,,,,55476,,,,,,,,False,,,,
,246.175.187.94,HTTP,2957,,,,,,,,,,,,True,,1641,,04/06/2023 19:58:21,,,,,,,,75493,13798,,,,,zoom.us,5569251818956,False,,,,
,,TCP,5913,,,,twitter.com,13.203.50.83,,,,,False,,,,1371,,,,,09/07/2023 10:55:26,,,,,,,,,,53335,,6556487496789,False,33789,,,
47610,19.40.82.175,,7299,,8418857591953,,,,,,,,,,,HTTP,,,,,,,False,,,,,,1620,,,20767,,,False,,2023-11-20T22:17:36.000Z,amazon.in,
,,,,,1459792679172,585,,,False,,UDP,,,3435,,,,,,,48339,2023-07-23 19:04:39,,40.43.199.158,,,42634,,,,,,,,False,,,youtube.com,
,,,7062,,,,netflix.com,,True,HTTPS,,1.69.176.146,,,,,,,,,,07/07/2023 15:00:28,,,78260,,,,,,,546,,6417851535837,False,,1955,,
,,,,,,327,amazon.in,,,,HTTP,18.93.69.148,True,,,,,,,,,11/29/2023 19:22:02,,,,,,,,,,29842,,6009099518920,False,70129,2016,,
,,,,,,,,244.74.28.136,,,,,,,True,UDP,3447,9157738033419,,,,12/23/2023 01:09:19,,,,6261,,4679,,,,,,,False,15995,,,youtube.com
76172,,,,,,,,,,,,,False,1622,,HTTP,,3149721009243,,,,05/10/2023 17:31:15,,14.111.57.120,,156,,,,,,,zoom.us,,False,,,,
,,TCP,,,9581885082227,,,,False,,,,,,,,,,,,,2023-04-30T11:31:55.000Z,,113.98.10.193,24884,8902,,,1793,,8830,,instagram.com,,False,,,,
,17.198.97.254,,,,,8582,,,,HTTP,,,True,1320,,,,1330209680160,,,,2023-11-14T13:15:20.000Z,,,,,,,,,10102,,zoom.us,,True,5747,,,
28308,,,,,,4989,,,,,,,True,,,DNS,,,,,,1681755750,,164.31.184.212,,,,,,,,52052,,1227937668050,False,,167,,youtube.com
,,HTTPS,9236,,9879422075766,,twitter.com,114.180.161.166,False,,,,,,,,,,,,,22/06/2023 23:56:24,,,,,,,,,,27024,,,False,49170,1325,,
,,,,,,,,,,HTTP,,,True,,,,,6539888135807,2023-01-12T10:02:50.000Z,,10231,,,238.79.48.19,52412,4930,,,1024,,,,,,False,,,twitter.com,
51505,162.195.27.156,,,2023-03-03T08:15:16.000Z,8329079530169,837,,,,,,,,,True,UDP,,,,,,,,,,,,20927,2859,,,,,,False,,,,fileshare.cc
,,HTTP,,,8642902133445,,,,,,,,,2360,,,,,,,,24/12/2023 04:44:48,False,125.202.100.126,,6786,45663,,,,,17450,,,True,,,flipkart.com,
68595,,,,,2511196115020,,,223.147.7.175,,,,,False,,,,857,,,,,,,,,,,,,3481,,7293,snapchat.com,,False,,27/02/2023 01:59:08,,
,,,,,,,,223.197.118.194,,HTTP,,,,,,,2446,,07/18/2023 09:52:41,,,,True,,,3064,60039,46511,,,,,,2168266899549,False,,,,
75100,,,,05/22/2023 02:15:27,,,,209.15.143.115,,UDP,,,False,,,,,,,9821770861407,,,,,,3736,,58798,,,,,amazon.in,,False,,1566,,
,,,,,3081854144734,,fileshare.cc,226.211.210.155,,,HTTP,,,770,True,,,,,,,05/04/2023 11:33:48,,,80223,,,,,3036,61196,,,,False,,,,
,,,8037,,,,,4.138.211.113,,UDP,,,,,,,1800,,2023-04-09 08:14:18,3878218700986,,,False,,,,,,,,,64766,amazon.in,,True,59981,,,
,,,,2023-09-22 22:57:40,,,,,True,,,,,,,TCP,,,,7814213438791,,,,102.155.146.236,,,,,583,7410,,19296,,,False,65632,,,zoom.us
,,,,2023-09-26T13:59:03.000Z,2500502416316,,snapchat.com,,False,UDP,,97.194.22.87,,,,,,,,,,,,,,,40579,37061,,850,,,,,False,,593,,
,,,,,9369428697358,9481,,,,,,,True,3498,,,,,1692609959,,,,,,,,,,,,,9717,,,False,39127,,youtube.com,
63404,,UDP,,,7669644104447,,youtube.com,,,,,35.62.140.168,,,False,,,,,,,,,,,8676,,,448,,34384,,,,False,,2023-02-04T15:33:30.000Z,,
,,,,,,,,,True,,TCP,107.211.23.170,,,,,2827,,,1421414490808,,2023-08-27 22:46:20,,,66422,1121,,,,,,52825,zoom.us,,False,,,,
,186.161.9.106,,,,,520,twitter.com,,,,,,,612,,HTTP,,6896543114157,,,,2023-08-25 15:04:17,True,,49193,,,,,,21740,,,,False,,,,
42914,10.103.47.227,DNS,,,,,,,,,,,,1394,,,,,,4802345837356,,,True,,,,,,,8589,,52365,,,False,,26/09/2023 11:00:25,,youtube.com
,,HTTPS,,,2812674367740,4493,,,,,,80.107.164.102,,,True,,,,09/24/2023 23:59:34,,,,,,,,81660,18131,,,,,fileshare.cc,,False,,1117,,
,,UDP,,,,,,110.200.91.228,True,,,,,,,,,,,1507364804529,20477,2023-08-30 01:50:13,,,,1296,,,,,,,,,False,99066,2748,amazon.in,
14032,,,,12/25/2023 12:01:36,,,,,,,HTTP,17.243.57.179,,,True,,522,4227204396860,,,,,,,,,,,,6656,,55429,,,False,,,flipkart.com,
,,,,,,,youtube.com,183.249.58.237,,,,,,,,UDP,,,,,,06/10/2023 08:35:53,False,,78182,1791,,,1663,,,6400,,7020630724443,False,,,,
,,,,,,,snapchat.com,,,,DNS,,,523,,,,4617202844965,,,,12/15/2023 11:31:37,True,174.155.222.176,,1032,,,,,,,,,False,71953,,,
,,,7984,,,,,93.213.78.147,,,,,,,,TCP,,9354456181471,,,,,False,,,,,,,,,43914,,,False,17806,65,,amazon.in
,,,,05/02/2023 18:16:02,9764215510786,,,,False,DNS,,148.187.17.19,,,,,2829,,,,,,,,,,,,,8634,,46196,amazon.in,,False,98390,,,
,237.155.133.31,,457,06/30/2023 10:43:36,8405947460045,,,,,TCP,,,,,,,,,,,,,True,,,,,37890,1196,,,,,,False,10824,,,
45239,,,3464,,,,,,,,UDP,,False,,,,2974,,,5156243180412,,,,22.74.78.253,,,,27063,,,,,,,False,,2023-09-06T06:34:59.000Z,fileshare.cc,
,247.21.49.181,,4193,1673067652,,,,,,,HTTP,,,1094,True,,,,,,,,,,,,,,,,,28298,amazon.in,8648779601304,False,51279,,,
,,TCP,9284,,,,,,True,,,,,,,,,,,8845554480649,,06/29/2023 07:59:19,,7.47.29.111,,,24227,41818,2477,,,,,,False,,,facebook.com,
,126.102.201.91,,,,,,,,,,HTTPS,,,,,,,,,,,,True,,,7244,13548,,2636,,7107,,netflix.com,6851414440345,False,,01/31/2023 09:24:07,,
39702,,,,1695298914,,,amazon.in,,,,,,,,,HTTPS,,1066892570542,,,,,True,187.35.115.1,,,,45172,,5890,,,,,False,,2193,,
